date_key	buyer_code_sahamdari	buyer_code_melli	buyer_mahal_sodoor	type_of_buyer	buyer_broker_name	buyer_broker_code	seller_code_sahamdari	seller_code_melli	seller_mahal_sodoor	type_of_seller	seller_broker_name	seller_broker_code	number_of_units	price
14020303	xxxx	yyyy	تهران	حقوقی ایرانی	مشتری‌الکترونیکی‌تامین‌سرمایه‌نوین‌-رایان	3L	ssss	zzzz	تهران	حقوقی ایرانی	مشتری‌الکترونیکی‌بانک‌سامان	4Y	975122	19610
14020303	xxxx	yyyy	تهران	حقوقی ایرانی	مشتری‌الکترونیکی‌تامین‌سرمایه‌نوین‌-رایان	3L	ssss	zzzz	تهران	حقوقی ایرانی	مشتری‌الکترونیکی‌بانک‌سامان	4Y	24878	19610
14020302	xxxx	yyyy	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌مبین‌سرمایه‌-تدبیر	7C	ssss	zzzz	اردبیل	حقیقی ایرانی	مشتری‌الکترونیکی‌تامین‌سرمایه‌نوین‌-رایان	3L	620	19930
14020303	xxxx	yyyy	کرمانشاه	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	ssss	zzzz	اصفهان	حقیقی ایرانی	مشتری‌الکترونیکی‌بانک‌رفاه‌کارگران	3Y	241	19660
14020301	xxxx	yyyy	قزوین	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	ssss	zzzz	شیراز	حقیقی ایرانی	مشتری‌الکترونیکی‌تامین‌سرمایه‌نوین‌-رایان	3L	4	19470
14020303	xxxx	yyyy	نجف‌ اباد	حقیقی ایرانی	مشتری‌الکترونیکی‌کارگزاری‌نمادشاهدان	jg	ssss	zzzz	اسلام‌ابادغرب	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	250	19710
14020302	xxxx	yyyy	ملکان	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	ssss	zzzz	اهر	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	500	19260
14020302	xxxx	yyyy	بابل	حقیقی ایرانی	مشتری‌الکترونیکی‌اردیبهشت‌ایرانیان	3W	ssss	zzzz	اهر	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	2156	19260
14020302	xxxx	yyyy	رامهرمز	حقیقی ایرانی	مشتری‌الکترونیکی‌دانایان‌پارس	Ad	ssss	zzzz	اهر	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	1294	19260
14020303	xxxx	yyyy	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	ssss	zzzz	تربت‌جام	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	19502	19500
14020303	xxxx	yyyy	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌مبین‌سرمایه‌-تدبیر	7C	ssss	zzzz	تربت‌جام	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	498	19510
14020302	xxxx	yyyy	چناران	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	ssss	zzzz	هرسین	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	239	19640
14020302	xxxx	yyyy	مراغه	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	ssss	zzzz	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	255	19810
14020302	xxxx	yyyy	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌مبین‌سرمایه‌-تدبیر	7C	ssss	zzzz	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	260	19880
14020301	xxxx	yyyy	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌فارابی‌2-سوشیانت	tm	ssss	zzzz	تویسرکان	حقیقی ایرانی	مشتری‌الکترونیکی‌اندیشه‌وبینش‌پیشرو-تدبیر	aI	49508	19430
14020301	xxxx	yyyy	آوج	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	ssss	zzzz	تویسرکان	حقیقی ایرانی	مشتری‌الکترونیکی‌اندیشه‌وبینش‌پیشرو-تدبیر	aI	315	19390
14020301	xxxx	yyyy	تهران	حقوقی ایرانی	بازارگردان‌الکترونیکی‌الگوریتمی‌تامین‌سرمایه	Nv	ssss	zzzz	تویسرکان	حقیقی ایرانی	مشتری‌الکترونیکی‌اندیشه‌وبینش‌پیشرو-تدبیر	aI	71542	19390
14020303	xxxx	yyyy	ویسیان	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	ssss	zzzz	اهواز	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	358	19540
14020303	xxxx	yyyy	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌فارابی‌2-سوشیانت	tm	ssss	zzzz	اهواز	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	200	19540
14020303	xxxx	yyyy	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	ssss	zzzz	اهواز	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	150	19540
14020303	xxxx	yyyy	کبودرآهنگ	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	ssss	zzzz	اهواز	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	325	19540
14020303	xxxx	yyyy	قم	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	ssss	zzzz	اهواز	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	255	19540
14020303	xxxx	yyyy	لنجان	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	ssss	zzzz	اهواز	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	8012	19540
14020303	xxxx	yyyy	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌فارابی‌2-سوشیانت	tm	ssss	zzzz	اهواز	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	437	19540
14020301	xxxx	yyyy	76/س‌/02	حقوقی ایرانی	مشتری‌الکترونیکی‌فارابی‌2-سوشیانت	tm	ssss	zzzz	اراک	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	1550	19400
14020303	xxxx	yyyy	سراب	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	ssss	zzzz	کرج	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	3191	19680
14020303	xxxx	yyyy	شهرضا	حقیقی ایرانی	مشتری‌الکترونیکی‌مبین‌سرمایه‌-تدبیر	7C	ssss	zzzz	کرج	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	8809	19680
14020302	xxxx	yyyy	تهران	حقوقی ایرانی	مشتری‌الکترونیکی‌تامین‌سرمایه‌نوین‌-رایان	3L	ssss	zzzz	قوچان	حقیقی ایرانی	مشتری‌الکترونیکی‌مهرآفرین‌4	Jv	46187	19860
14020301	xxxx	yyyy	نامشخص	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	ssss	zzzz	پلدختر	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	157	19380
14020301	xxxx	yyyy	تبریز	حقیقی ایرانی	مشتری‌الکترونیکی‌آفتاب‌درخشان	jh	ssss	zzzz	پلدختر	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	315	19390
14020301	xxxx	yyyy	بیرجند	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	ssss	zzzz	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌ارزش‌آفرین‌الوند	7a	500	19420
14020301	xxxx	yyyy	مهدیشهر	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	ssss	zzzz	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	200	19420
14020301	xxxx	yyyy	رشت	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	ssss	zzzz	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	20561	19400
14020301	xxxx	yyyy	کرمانشاه	حقیقی ایرانی	مشتری‌الکترونیکی‌بانک‌صادرات‌ایران	4B	ssss	zzzz	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	5143	19420
14020301	xxxx	yyyy	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌بانک‌پاسارگاد1	4W	ssss	zzzz	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	497	19420
14020301	xxxx	yyyy	ملکان	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	ssss	zzzz	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌نواندیشان	4L	242	19420
14020303	xxxx	yyyy	تهران	حقوقی ایرانی	بازارگردان‌الکترونیکی‌الگوریتمی‌تامین‌سرمایه	Nv	ssss	zzzz	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	800	19600
14020301	xxxx	yyyy	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	ssss	zzzz	لاهیجان	حقیقی ایرانی	مشتری‌الکترونیکی‌تامین‌سرمایه‌نوین‌-رایان	3L	2	19380
14020303	xxxx	yyyy	زاهدان	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	ssss	zzzz	شهرضا	حقیقی ایرانی	مشتری‌الکترونیکی‌مبین‌سرمایه‌-تدبیر	7C	500	19530
14020303	xxxx	yyyy	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	ssss	zzzz	شهرضا	حقیقی ایرانی	مشتری‌الکترونیکی‌مبین‌سرمایه‌-تدبیر	7C	2846	19500
14020303	xxxx	yyyy	مشهد	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	ssss	zzzz	شهرضا	حقیقی ایرانی	مشتری‌الکترونیکی‌مبین‌سرمایه‌-تدبیر	7C	9798	19760
14020303	xxxx	yyyy	مشهد	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	ssss	zzzz	شهرضا	حقیقی ایرانی	مشتری‌الکترونیکی‌مبین‌سرمایه‌-تدبیر	7C	10000	19760
14020303	xxxx	yyyy	مشهد	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	ssss	zzzz	شهرضا	حقیقی ایرانی	مشتری‌الکترونیکی‌مبین‌سرمایه‌-تدبیر	7C	4336	19760
14020303	xxxx	yyyy	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	ssss	zzzz	شهرضا	حقیقی ایرانی	مشتری‌الکترونیکی‌مبین‌سرمایه‌-تدبیر	7C	2554	19550
14020302	xxxx	yyyy	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	ssss	zzzz	مشهد	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	7715	19790
14020302	xxxx	yyyy	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	ssss	zzzz	مشهد	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	1000	19780
14020302	xxxx	yyyy	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	ssss	zzzz	مشهد	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	2285	19790
14020301	xxxx	yyyy	تهران	حقوقی ایرانی	بازارگردان‌الکترونیکی‌الگوریتمی‌تامین‌سرمایه	Nv	ssss	zzzz	قم	حقیقی ایرانی	مشتری‌الکترونیکی‌تامین‌سرمایه‌نوین‌-رایان	3L	4	19440
14020303	xxxx	yyyy	تبریز	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	ssss	zzzz	قم	حقیقی ایرانی	کارگزاری‌الکترونیکی‌تامین‌سرمایه‌نوین‌-رایان	3l	2	19630
14020302	xxxx	yyyy	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌مبین‌سرمایه‌-تدبیر	7C	ssss	zzzz	اصفهان	حقیقی ایرانی	مشتری‌الکترونیکی‌مبین‌سرمایه‌-تدبیر	7C	73	19930
14020301	xxxx	yyyy	بیرجند	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	ssss	zzzz	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌بانک‌ملی	3M	300	19420
14020302	xxxx	yyyy	اصفهان	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	ssss	zzzz	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	600	19740
14020302	xxxx	yyyy	اصفهان	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	ssss	zzzz	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	430	19770
14020302	xxxx	yyyy	بابل	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	ssss	zzzz	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	600	19700
14020303	xxxx	yyyy	شهرضا	حقیقی ایرانی	مشتری‌الکترونیکی‌مبین‌سرمایه‌-تدبیر	7C	ssss	zzzz	مشهد	حقیقی ایرانی	شرکت‌کارگزاری‌تامین‌سرمایه‌نوین‌مشهد2	hv	4	19590
14020302	xxxx	yyyy	تهران	حقوقی ایرانی	مشتری‌الکترونیکی‌تامین‌سرمایه‌نوین‌-رایان	3L	ssss	zzzz	مرند	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	506	19690
14020303	xxxx	yyyy	بهبهان	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	ssss	zzzz	خمین	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	2000	19650
14020303	xxxx	yyyy	اصفهان	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	ssss	zzzz	خمین	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	68	19650
14020303	xxxx	yyyy	بوشهر	حقیقی ایرانی	مشتری‌الکترونیکی‌تامین‌سرمایه‌نوین‌-رایان	3L	ssss	zzzz	خمین	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	143	19670
14020303	xxxx	yyyy	خرم‌ آباد	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	ssss	zzzz	خمین	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	2000	19650
14020302	xxxx	yyyy	شیراز	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	ssss	zzzz	نیشابور	حقیقی ایرانی	مشتری‌الکترونیکی‌گنجینه‌سپهرپارت‌2-رایان	Dw	697	19800
14020302	xxxx	yyyy	شیراز	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	ssss	zzzz	نیشابور	حقیقی ایرانی	مشتری‌الکترونیکی‌گنجینه‌سپهرپارت‌2-رایان	Dw	1510	19800
14020302	xxxx	yyyy	تهران	حقوقی ایرانی	مشتری‌الکترونیکی‌تامین‌سرمایه‌نوین‌-رایان	3L	ssss	zzzz	نیشابور	حقیقی ایرانی	مشتری‌الکترونیکی‌گنجینه‌سپهرپارت‌2-رایان	Dw	4793	19800
14020303	xxxx	yyyy	اصفهان	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	ssss	zzzz	لاهیجان	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	69	19510
